end_code,country_code,domaincat_desc,statisticcat_desc,location_desc,zip_5,source_desc,state_ansi,week_ending,prodn_practice_desc,county_code,congr_district_code,CV (%),year,Value,group_desc,country_name,class_desc,domain_desc,util_practice_desc,asd_desc,watershed_desc,agg_level_desc,county_name,county_ansi,state_alpha,state_name,load_time,commodity_desc,region_desc,freq_desc,unit_desc,state_fips_code,watershed_code,short_desc,begin_code,sector_desc,asd_code,reference_period_desc
00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, CENTRAL COAST, OTHER (COMBINED) COUNTIES",,SURVEY,06,,ALL PRODUCTION PRACTICES,998,,,2019,44.9,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,GRAIN,CENTRAL COAST,,COUNTY,OTHER (COMBINED) COUNTIES,,CA,CALIFORNIA,2021-02-25 15:10:17.000,CORN,,ANNUAL,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00,CROPS,40,YEAR
ALL PRODUCTION PRACTICES,998,,,00,9000,NOT SPECIFIED,"CALIFORNIA, CENTRAL COAST, OTHER (COMBINED) COUNTIES",YIELD,,SURVEY,,06,TOTAL,GRAIN,2016,145.1,FIELD CROPS,UNITED STATES,ALL CLASSES,COUNTY,OTHER (COMBINED) COUNTIES,CA,,CENTRAL COAST,,ANNUAL,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",40,CROPS,00,YEAR,2017-02-23 15:00:08.000,CALIFORNIA,CORN,
,CENTRAL COAST,,CA,OTHER (COMBINED) COUNTIES,COUNTY,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,CROPS,00,YEAR,40,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,ANNUAL,,06,SURVEY,,YIELD,"CALIFORNIA, CENTRAL COAST, OTHER (COMBINED) COUNTIES",NOT SPECIFIED,9000,00,,,998,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,147.5,2012,GRAIN,TOTAL
GRAIN,TOTAL,UNITED STATES,ALL CLASSES,2019,153.6,FIELD CROPS,,ALL PRODUCTION PRACTICES,998,,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",,SURVEY,06,,00,9000,NOT SPECIFIED,06,BU / ACRE,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,50,YEAR,00,ANNUAL,CALIFORNIA,2021-02-25 15:10:17.000,CORN,,OTHER (COMBINED) COUNTIES,CA,,COUNTY,,SACRAMENTO VALLEY
"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,50,YEAR,00,06,BU / ACRE,00000000,ANNUAL,CORN,,CALIFORNIA,2019-03-21 15:00:18.000,OTHER (COMBINED) COUNTIES,CA,,COUNTY,,SACRAMENTO VALLEY,GRAIN,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2018,207.5,,998,,ALL PRODUCTION PRACTICES,SURVEY,06,,"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",YIELD,,NOT SPECIFIED,00,9000
ANNUAL,50,CROPS,00,YEAR,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",00000000,06,BU / ACRE,,CORN,CALIFORNIA,2017-02-23 15:00:08.000,COUNTY,CA,,OTHER (COMBINED) COUNTIES,SACRAMENTO VALLEY,,TOTAL,GRAIN,FIELD CROPS,262.2,2016,ALL CLASSES,UNITED STATES,,998,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,9000,00,06,,SURVEY,,"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",YIELD
ALL CLASSES,UNITED STATES,FIELD CROPS,2015,189.2,GRAIN,TOTAL,SURVEY,,06,"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",YIELD,,NOT SPECIFIED,00,9000,,998,,ALL PRODUCTION PRACTICES,CORN,,CALIFORNIA,2017-02-23 15:00:08.000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",50,00,CROPS,YEAR,06,BU / ACRE,00000000,ANNUAL,,SACRAMENTO VALLEY,OTHER (COMBINED) COUNTIES,CA,,COUNTY
CORN,,CALIFORNIA,2015-02-19 15:38:52.000,ANNUAL,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",YEAR,CROPS,50,00,06,BU / ACRE,00000000,SACRAMENTO VALLEY,,COUNTY,OTHER (COMBINED) COUNTIES,CA,,FIELD CROPS,2014,168.9,ALL CLASSES,UNITED STATES,TOTAL,GRAIN,NOT SPECIFIED,00,9000,SURVEY,,06,YIELD,"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",,998,,ALL PRODUCTION PRACTICES,
,"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",YIELD,06,,SURVEY,9000,00,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,,998,UNITED STATES,ALL CLASSES,233.6,2013,FIELD CROPS,GRAIN,TOTAL,,SACRAMENTO VALLEY,,CA,OTHER (COMBINED) COUNTIES,COUNTY,2015-02-19 15:38:52.000,CALIFORNIA,,CORN,00000000,06,BU / ACRE,YEAR,50,00,CROPS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",ANNUAL
"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",YIELD,,SURVEY,,06,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,998,,UNITED STATES,ALL CLASSES,2012,203.1,FIELD CROPS,GRAIN,TOTAL,,SACRAMENTO VALLEY,OTHER (COMBINED) COUNTIES,,CA,COUNTY,CALIFORNIA,2015-06-03 15:08:31.000,CORN,,BU / ACRE,06,00000000,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",CROPS,50,YEAR,00,ANNUAL
